Name,Author,Rating,Review
Hotel Grad Otočec,Ivet Sotirova,4,"More than a great and magical place. Clean, tasty, unique for walks, suitable for children and for a nice holiday. BUT... we come here for the 3rd time. Last year we were there on the 9th of September and there was a big party downstairs in the restaurant, we were assured it would be over by 10.30pm. At 11 p.m. in the evening I went down because my daughter couldn't sleep because of the noise and to check what was going on because the whole hotel smelled of cigarettes and the music was very loud. The party didn't end until 1:40... my disappointment was great then.  This year 18.06 we are guests of the hotel again, everything was again very clean, tasty, wonderful, the cosmetics in the hotel are very high class, the staff is great polite and smiling, but there were masters right outside our door exactly at 8:20 in the morning... for me this is not normal as a place where you come to rest with your family and sleep till 10. The experience with the ducks and the swan is very nice!"
Hotel Grad Otočec,Gordana Podvezanec,5,"The Otočec castle, built on one of the islands in the Krka river, is the only castle in Slovenia that is completely surrounded by water. Its present architecture originates from the transitional period between the Romanesque and the Gothic eras.  The original unfortified building with a rectangular ground plan was later expanded, giving it an L-shape. To protect the castle from Turkish assaults, a new outer wall was added and fortified with towers at the corners.  The castle park on the island was created under the Schweiger – Larchenfeld family (1727-1850), but its original form has been lost to the centuries. With the beautiful island park, the castle reflected in the clear water of the Krka river and the white mute swans, Otočec is truly a magical place."
Hotel Grad Otočec,Blaž Lusavec,5,"Very tasty large cup of cappuccino and very good fresh ice cream 👌And for a 5 star hotel in a castle on an island on a river for very resonable and affordable price. Oh yes, and very friendly staff."
Hotel Grad Otočec,Uros R.,5,A beautiful castle to visit on an island on Krka river.  To see more details you can visit my youtube channel Big Joe Cheap Travels
Hotel Grad Otočec,Bogdan Tertinek,5,"This magnificent five-stars hotel hosts also a Michelin Plate restaurant where the chef Nejc Ban and his team realise their talents. The castle has an attractive architecture influenced by different styles over several centuries, the interior was carefully renovated, rooms are pleasant and nicely furnished using natural materials, only some minor details divide the guest´s impression from perfection. The ambiance of the restaurant is superb, you can check its photos by yourself, I can highly recommend their 5-course degustation menu, which offers a wide spectrum of authentic tastes, ingredients are mainly local, the individual dishes are presented very well by competent waiters. Also the other hotel staff are very professional, attentive and helpful. To sleep and dine within castle walls is a special experience...enjoying a cup of tea beside a fireplace is unforgettable. Overall, it is a charming and impressive place, I truly couldn´t recommend it enough for example for special occasions like romantic getaways or celebrations of jubilees."
Reszel Castle,john wheatcroft,5,"Great place to stay. Good choice of beers food was ok. If on motorbike you may be able to park in courtyard,but access is up hill all on cobbles"
Reszel Castle,Paweł,5,"The Reszel castle, an Ordensburg fortress, was built in between 1350 and 1401 by the Teutonic Order.  In the nineteenth century it was adapted into a prison, next it was fully renovated after the Second World War. Currently the castle houses the museum , hotel and a restaurant."
Reszel Castle,Skirmantas J.,5,Romantic castle experience. We stayed for one night and completely enjoyed our stay 💯
Reszel Castle,Tom Zyskowski,5,"Super place and experience, we stayed overnight. Good food and beer."
Reszel Castle,Szymon Leszczyński,5,Very nice and small castle for a touristic stroll or even staying the night. We didn't stay the night but were only visiting the sites.  Seeing the whole site took about 1h. There was the torture chamber and walk up to the tower. There is a restaurant right inside which looke nice. Beware: strollers are usually a bad idea here because of the various stairs.
