"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	790	4430141	17.8
	"Alabama"	"01"	"2000"	"2000"	766	4447100	17.2
	"Alabama"	"01"	"2001"	"2001"	737	4467634	16.5
	"Alabama"	"01"	"2002"	"2002"	724	4480089	16.2
	"Alabama"	"01"	"2003"	"2003"	765	4503491	17.0
	"Alabama"	"01"	"2004"	"2004"	679	4530729	15.0
	"Alabama"	"01"	"2005"	"2005"	736	4569805	16.1
	"Alabama"	"01"	"2006"	"2006"	780	4628981	16.9
	"Alabama"	"01"	"2007"	"2007"	812	4672840	17.4
	"Alabama"	"01"	"2008"	"2008"	820	4718206	17.4
	"Alabama"	"01"	"2009"	"2009"	830	4757938	17.4
	"Alabama"	"01"	"2010"	"2010"	782	4779736	16.4
	"Alabama"	"01"	"2011"	"2011"	785	4799918	16.4
	"Alabama"	"01"	"2012"	"2012"	831	4815960	17.3
	"Alabama"	"01"	"2013"	"2013"	860	4829479	17.8
	"Alabama"	"01"	"2014"	"2014"	815	4843214	16.8
	"Alabama"	"01"	"2015"	"2015"	958	4853875	19.7
	"Alabama"	"01"	"2016"	"2016"	1046	4863300	21.5
"Total"	"Alabama"	"01"			14516	83992436	17.3
	"Alaska"	"02"	"1999"	"1999"	88	624779	14.1
	"Alaska"	"02"	"2000"	"2000"	116	626932	18.5
	"Alaska"	"02"	"2001"	"2001"	95	633714	15.0
	"Alaska"	"02"	"2002"	"2002"	127	642337	19.8
	"Alaska"	"02"	"2003"	"2003"	120	648414	18.5
	"Alaska"	"02"	"2004"	"2004"	117	659286	17.7
	"Alaska"	"02"	"2005"	"2005"	116	666946	17.4
	"Alaska"	"02"	"2006"	"2006"	111	675302	16.4
	"Alaska"	"02"	"2007"	"2007"	120	680300	17.6
	"Alaska"	"02"	"2008"	"2008"	142	687455	20.7
	"Alaska"	"02"	"2009"	"2009"	104	698895	14.9
	"Alaska"	"02"	"2010"	"2010"	144	710231	20.3
	"Alaska"	"02"	"2011"	"2011"	126	722713	17.4
	"Alaska"	"02"	"2012"	"2012"	132	731089	18.1
	"Alaska"	"02"	"2013"	"2013"	144	736879	19.5
	"Alaska"	"02"	"2014"	"2014"	145	736705	19.7
	"Alaska"	"02"	"2015"	"2015"	177	737709	24.0
	"Alaska"	"02"	"2016"	"2016"	177	741894	23.9
"Total"	"Alaska"	"02"			2301	12361580	18.6
	"Arizona"	"04"	"1999"	"1999"	822	5023823	16.4
	"Arizona"	"04"	"2000"	"2000"	796	5130632	15.5
	"Arizona"	"04"	"2001"	"2001"	842	5273477	16.0
	"Arizona"	"04"	"2002"	"2002"	968	5396255	17.9
	"Arizona"	"04"	"2003"	"2003"	849	5510364	15.4
	"Arizona"	"04"	"2004"	"2004"	897	5652404	15.9
	"Arizona"	"04"	"2005"	"2005"	934	5839077	16.0
	"Arizona"	"04"	"2006"	"2006"	982	6029141	16.3
	"Arizona"	"04"	"2007"	"2007"	951	6167681	15.4
	"Arizona"	"04"	"2008"	"2008"	907	6280362	14.4
	"Arizona"	"04"	"2009"	"2009"	856	6343154	13.5
	"Arizona"	"04"	"2010"	"2010"	931	6392017	14.6
	"Arizona"	"04"	"2011"	"2011"	964	6467163	14.9
	"Arizona"	"04"	"2012"	"2012"	946	6549634	14.4
	"Arizona"	"04"	"2013"	"2013"	941	6624617	14.2
	"Arizona"	"04"	"2014"	"2014"	927	6719993	13.8
	"Arizona"	"04"	"2015"	"2015"	970	6817565	14.2
	"Arizona"	"04"	"2016"	"2016"	1094	6931071	15.8
"Total"	"Arizona"	"04"			16577	109148430	15.2
	"Arkansas"	"05"	"1999"	"1999"	388	2651860	14.6
	"Arkansas"	"05"	"2000"	"2000"	416	2673400	15.6
	"Arkansas"	"05"	"2001"	"2001"	412	2691571	15.3
	"Arkansas"	"05"	"2002"	"2002"	441	2705927	16.3
	"Arkansas"	"05"	"2003"	"2003"	413	2724816	15.2
	"Arkansas"	"05"	"2004"	"2004"	406	2749686	14.8
	"Arkansas"	"05"	"2005"	"2005"	439	2781097	15.8
	"Arkansas"	"05"	"2006"	"2006"	426	2821761	15.1
	"Arkansas"	"05"	"2007"	"2007"	426	2848650	15.0
